region,ERO_or_JSN,ROI_name,score_name,limit
H,ERO,SCD1,Base_MCIE,5
H,ERO,SPD1,IPIED,5
H,ERO,SPP1,IPIEP,5
H,ERO,SWR,LunatE,5
H,ERO,SMD3,MCPIIIED,5
H,ERO,SMP3,MCPIIIEP,5
H,ERO,SMD2,MCPIIED,5
H,ERO,SMP2,MCPIIEP,5
H,ERO,SMD1,MCPIED,5
H,ERO,SMP1,MCPIEP,5
H,ERO,SMD4,MCPIVED,5
H,ERO,SMP4,MCPIVEP,5
H,ERO,SMD5,MCPVED,5
H,ERO,SMP5,MCPVEP,5
H,ERO,SPD3,PIPIIIED,5
H,ERO,SPP3,PIPIIIEP,5
H,ERO,SPD2,PIPIIED,5
H,ERO,SPP2,PIPIIEP,5
H,ERO,SPD4,PIPIVED,5
H,ERO,SPP4,PIPIVEP,5
H,ERO,SPD5,PIPVED,5
H,ERO,SPP5,PIPVEP,5
H,ERO,SWR,RadiusE,5
H,ERO,SWR,ScaphE,5
H,ERO,SWR,TrapE,5
H,ERO,SWR,UlnaE,5
F,ERO,STP1,MTPIEP,5
F,ERO,STD1,MTPIED,5
F,ERO,STP2,MTPIIEP,5
F,ERO,STD2,MTPIIED,5
F,ERO,STP3,MTPIIIEP,5
F,ERO,STD3,MTPIIIED,5
F,ERO,STP4,MTPIVEP,5
F,ERO,STD4,MTPIVED,5
F,ERO,STP5,MTPVEP,5
F,ERO,STD5,MTPVED,5
F,ERO,SIP1,IPEP,5
F,ERO,SID1,IPED,5
H,JSN,SCD3,CMCIII,4
H,JSN,SCD4,CMCIV,4
H,JSN,SCD5,CMCV,4
H,JSN,SMD3,MCPIII,4
H,JSN,SMD2,MCPII,4
H,JSN,SMD1,MCPI,4
H,JSN,SMD4,MCPIV,4
H,JSN,SMD5,MCPV,4
H,JSN,SPD3,PIPIII,4
H,JSN,SPD2,PIPII,4
H,JSN,SPD4,PIPIV,4
H,JSN,SPD5,PIPV,4
H,JSN,SWR,Rad_Carp,4
H,JSN,SWR,Sca_Cap,4
H,JSN,SWR,Tra_Sca,4
F,JSN,STD1,MTPI,4
F,JSN,STD2,MTPII,4
F,JSN,STD3,MTPIII,4
F,JSN,STD4,MTPIV,4
F,JSN,STD5,MTPV,4
F,JSN,SID1,IP,4
